nombre,precioEspecial,codigo_principal,vendible,stock,id_producto
Mouse Glorious Model D (Black),8060.0,SKU: GD-BLACK,1,20,10755
"Mouse Pad Glorious 3XL Extended - 24"" x 48"" - White Edition 1220x610mm",8250.0,SKU: CODE GW-3XL,1,20,10752
"Mouse Pad Glorious XXL Extended - 18"" x 36"" - White Edition 910x460mm",5960.0,SKU: CODE GW-XXL,1,20,10751
"Mouse Pad Glorious Extended 11"" x  36"" - White Edition 610x280mm",5250.0,SKU: CODE GW-E,1,20,10750
"Mouse Pad Glorious XL Extended - 14""x24"" - White Edition 610x360mm",3560.0,SKU: CODE GW-P,1,13,10749
"Mouse Pad Glorious XL Heavy - 16""x18"" - White Edition 460x410mm",4010.0,SKU: CODE GW-HXL,1,20,10748
"Mouse Pad Glorious XL - 16"" x 18"" - White Edition 460x410mm",3330.0,SKU: CODE GW-XL,1,20,10745
Gabinete Deepcool MATREXX 55 V3 ADD-RGB 3F Black,25900.0,EAN: 6933412713982,1,20,10743
"Mouse Pad Glorious Large - 11"" x 13"" - White Edition 330x280mm",2320.0,SKU: CODE GW-L,1,20,10742
"Mouse Pad Glorious Extended - 11"" x 36"" - Stealth Edition 910x280mm",5240.0,SKU: G-E-STEALTH,1,12,10741
"Mouse Pad Glorious XXL Extended - 18"" x 36"" Stealth Edition 910x460mm",7120.0,SKU: G-XXL-STEALTH,1,16,10739
"Mouse Pad Glorious XL Heavy - 16"" x 18"" Stealth Edition 460x410mm",4020.0,SKU: G-HXL-STEALTH,1,7,10738
"Mouse Pad Glorious XL - 16"" x 18"" - Stealth Edition 460x410mm",3330.0,SKU: G-XL-STEALTH,1,20,10737
"Mouse Pad Glorious Large - 11"" x 13"" - Stealth Edition 330x280mm",2330.0,SKU: G-L-STEALTH,1,20,10736
"Mouse Pad Glorious 3XL Extended - 24"" x 48"" 1220x610mm",9940.0,SKU: CODE G-3XL,1,20,10735
Mouse Logitech G203 Lightsync RGB Blue,3900.0,SKU: 910-005795,1,20,10730
Mouse Logitech G203 Lightsync RGB Lila,4000.0,SKU: 910-005852,1,20,10729
Placa de Video MSI GeForce RTX 3090 24GB GDDR6X VENTUS 3X OC,290000.0,SKU: GEFORCE RTX 3090 VENTUS 3X 24G OC,1,20,10724
Gabinete Cooler Master H500P Mesh ARGB,45250.0,SKU: MCM-H500P-MGNN-S11,1,2,10723
Access Point Tp-Link TL-WA901N 450Mbps,5760.0,SKU: TL-WA901N,1,20,10711
Mouse Marvo G961 RGB 12000DPI,6500.0,EAN: 6932391922149,1,12,10708
Auriculares Marvo HG9053 PRO 7.1,16730.0,SKU: HG9053 PRO,1,2,10684
Auriculares Marvo Skylab G1 HG8960 PRO PS4 Xbox PC,8250.0,SKU: HG8960 PRO,1,20,10683
Access Point Exterior Tp-Link CPE220,8070.0,SKU: .CPE220.,1,14,10672
Access Point Exterior Tp-Link CPE210,6590.0,P/N: 1753502213,1,11,10671
Cooler CPU DeepCool Gammaxx 400 V2 RED,4190.0,SKU: DP-MCH4-GMX400V2-RD,1,20,10649
Cooler CPU DeepCool Gammaxx 400 V2 BLUE,4190.0,SKU: DP-MCH4-GMX400V2-BL,1,20,10648
Memoria Adata DDR4 8GB 3200MHz XPG Spectrix D41 X TUF Gaming RGB,10800.0,SKU: AX4U32008G16A-SB41,1,20,10636
Cooler Fan ID-Cooling ZF-14025 ARGB 140mm,2900.0,SKU: ZF-14025-ARGB,1,20,10625
Mother Asrock B550M Steel Legend AM4,32030.0,SKU: B550M STEEL LEGEND,1,20,10610
Cooler CPU ID-Cooling SE-224-XT ARGB V2,8100.0,EAN: 6931393302638,1,20,10588
Mother ASUS PRIME B550M-K AM4,24150.0,P/N: 90MB14V0-M0EAY0,1,20,10585
Mother ASUS PRIME A520M-K AM4,17350.0,SKU: 90MB1500-M0AAY0,1,20,10578
Memoria GeiL DDR4 16GB 3000MHz Orion Red,18450.0,SKU: GAOR416GB3000C16ASC,1,20,10562
Mother Gigabyte A520M H AM4,20500.0,SKU: A520M H REV1.1,1,20,10548
Mouse Corsair Gaming Nightsword RGB Black,14480.0,SKU: CH-9306011-NA,1,4,10539
Mother Asrock B550 Phantom Gaming ITX/AX,50300.0,SKU: B550 PHANTOM GAMING-ITX/AX,1,8,10537
Mother Asrock B550 Phantom Gaming 4,25150.0,SKU: B550 PHANTOM GAMING 4,1,20,10534
Webcam Redragon GW800 Hitman 1080p,7700.0,SKU: GW800-1,1,20,10524
Webcam Redragon GW600 FOBOS 720p,4710.0,SKU: GW600-1,1,20,10523
Mouse Redragon Storm Elite M988 RGB Black,4990.0,SKU: M988-RGB,1,20,10522
Fuente Corsair 450W 80 Plus Bronze CV450,10680.0,SKU: 203711283,1,20,10482
Procesador Intel Core i5 10600K 4.8GHz Turbo Socket 1200,48800.0,SKU: BX8070110600K,1,1,10470
Mouse Glorious Model O Minus (Glossy White),8870.0,SKU: GOM-GWHITE,1,20,10459
Mouse Glorious Model O Minus (Glossy Black),8670.0,SKU: GOM-GBLACK,1,20,10458
Mouse Glorious Model O Minus (White),8340.0,SKU: GOM-WHITE,1,20,10457
Mouse Glorious Model O  (Glossy White),8660.0,SKU: GO-GWHITE,1,20,10455
Mouse Glorious Model O  (Glossy Black),8700.0,SKU: GO-GBLACK,1,20,10454
Mouse Glorious Model O  (White),8040.0,SKU: GO-WHITE,1,20,10453
Mouse Glorious Model O  (Black),7890.0,SKU: GO-BLACK,1,20,10452
Mouse Pad Glorious Extended XXL Black 460x910mm,6920.0,SKU: CODE G-XXL,1,20,10446
Mouse Pad Glorious XL Black G-HXL 410 x 460mm,3320.0,SKU: CODE G-HXL,1,20,10444
Mouse Pad Glorious Large Black 279x330mm,1630.0,SKU: CODE G-L,1,20,10442
